Ticker,Action,Confidence,RSI,EMA,MACD,OBV,ADX,ATR%,Vol_Ratio,Sentiment,Hist_Strength,SPY_Corr,Close,Date
BTC-USD,SELL,23.75,26.71702919,0,0,0,24.21421099,0.045314398,0.950400853,0,0.25,0,108392.9609,10/29/25
ETH-USD,SELL,23.74125,32.40430782,0,0,0,24.27501083,0.076926157,0.880771821,0,0.24975,0,3825.057373,10/29/25
AAPL,HOLD,67.5,51.82927004,1,1,1,,0.020505616,0.650128155,0,0.25,0,259.5799866,10/29/25
AMD,HOLD,55,74.52908963,1,1,1,,0.07009113,0.485932337,0,0.25,0,234.9900055,10/29/25
AMZN,HOLD,55,51.69746453,0,1,1,,0.02532906,0.644503275,0,0.25,0,221.0899963,10/29/25
BTC-USD,SELL,30,32.66352302,0,0,1,,0.045395402,0.768478715,0,0.25,0,110067.6875,10/29/25
ETH-USD,SELL,35,36.21892424,0,0,1,,0.075834547,0.810497797,0,0.25,0,3847.135986,10/29/25
GOOGL,HOLD,55,58.11464132,1,0,1,,0.025127553,0.630323179,0,0.25,0,253.0800018,10/29/25
INTC,HOLD,55,56.11774247,1,0,1,,0.049022737,0.693862311,0,0.25,0,38.15999985,10/29/25
META,HOLD,55,60.64681359,0,1,1,,0.022922829,0.741085604,0,0.25,0,734,10/29/25
MSFT,HOLD,62.5,53.56272863,1,1,1,,0.01508266,0.731695866,0,0.25,0,520.5599976,10/29/25
NFLX,SELL,27.5,43.60740459,0,0,0,,0.031216187,1.658351373,0,0.25,0,1113.589966,10/29/25
NVDA,SELL,42.5,43.40262593,1,0,1,,0.031785206,0.626522932,0,0.25,0,182.1600037,10/29/25
TSLA,HOLD,60,56.26185996,1,0,1,,0.04233563,1.397424461,0,0.25,0,448.980011,10/29/25
AAPL,HOLD,67.5,51.82927004,1,1,1,,0.020505616,0.650128155,0,0.25,0,259.5799866,10/29/25
AMD,HOLD,55,74.52908963,1,1,1,,0.07009113,0.485932337,0,0.25,0,234.9900055,10/29/25
AMZN,HOLD,55,51.69746453,0,1,1,,0.02532906,0.644503275,0,0.25,0,221.0899963,10/29/25
BTC-USD,SELL,30,32.51772973,0,0,1,,0.04542533,0.768109001,0,0.25,0,109995.1719,10/29/25
ETH-USD,SELL,30,36.076121,0,0,1,,0.075918039,0.795001971,0,0.25,0,3842.905029,10/29/25
GOOGL,HOLD,55,58.11464132,1,0,1,,0.025127553,0.687588913,0,0.25,0,253.0800018,10/29/25
INTC,HOLD,60,56.11774247,1,0,1,,0.049022737,0.809007474,0,0.25,0,38.15999985,10/29/25
META,HOLD,55,60.64681359,0,1,1,,0.022922829,0.797578652,0,0.25,0,734,10/29/25
MSFT,HOLD,62.5,53.56272863,1,1,1,,0.01508266,0.788550477,0,0.25,0,520.5599976,10/29/25
NFLX,SELL,27.5,43.60740459,0,0,0,,0.031216187,1.666347953,0,0.25,0,1113.589966,10/29/25
NVDA,SELL,42.5,43.40262593,1,0,1,,0.031785206,0.654655862,0,0.25,0,182.1600037,10/29/25
TSLA,HOLD,60,56.26185996,1,0,1,,0.04233563,1.397424461,0,0.25,0,448.980011,10/29/25
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
,,,,,,,,,,,,,,Date
